Title: Diagnosis - PanCareSurPass Project HL7 FHIR Implementation Guide v0.2.0

Description: 

                                                                     0                                                                      1                                                                      2                                                                      3                          4
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                   identifier                           NaN                          0..*                       integer                                                                            Metastasis id
                         site                           NaN                          0..*               BackboneElement                                                                          Metastasis site
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                         code                           NaN                          0..*               CodeableConcept                                                                     Metastasis site code
                  description                           NaN                          0..*                        string                                            Additional description of sites of metastatis
               geneticMarkers                           NaN                          0..1                        string                                                                    Genetic markers(text)
                        stage                           NaN                          0..1                        string                                                                               Stage/Risk
                   immunology                           NaN                          0..*               CodeableConcept                                                                               Immunology
     hereditaryPredisposition                           NaN                          0..*               CodeableConcept                                                         Hereditary Cancer Predisposition
                        notes                           NaN                          0..*                        string                                                                                    Notes
Documentation for this format Documentation for this format Documentation for this format Documentation for this format                                                            Documentation for this format

                         Name                         Flags                         Card.                          Type                                                                Description & Constraints
                    Diagnosis                           NaN                          0..*                          Base Diagnosis Instances of this logical model are not marked to be the target of a Reference
                   identifier                           NaN                          1..*                    Identifier                                                                                       ID
              dateOfDiagnosis                           NaN                          0..*               BackboneElement                                                                        Date of diagnosis
            centerOfDiagnosis                           NaN                          0..*               BackboneElement                                                                      Center of diagnosis
                          @id                           NaN                          0..1                        string                                                  Unique id for inter-element referencing
                    extension                           NaN                          0..*                     Extension        Additional content defined by implementations Slice: Unordered, Open by value:url
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                   identifier                           NaN                          0..1                    Identifier                                                                              Center code
                         name                           NaN                          0..1                        string                                                                              Center name
                         city                           NaN                          0..1                        string                                                                              Center city
                      country                           NaN                          1..1                        string                                                                           Center country
       primaryTreatmentCenter                           NaN                          0..1               BackboneElement                                                                 Primary treatment center
                          @id                           NaN                          0..1                        string                                                  Unique id for inter-element referencing
                    extension                           NaN                          0..*                     Extension        Additional content defined by implementations Slice: Unordered, Open by value:url
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                         name                           NaN                          0..1                        string                                                            Primary treatment center name
                         city                           NaN                          0..1                        string                                                            Primary treatment center city
                      country                           NaN                          0..1                        string                                                         Primary treatment center country
        dateOfArrivalAtCenter                           NaN                          1..*                      dateTime                                                       Date of arrival to our institution
              diagnosticGroup                           NaN                          0..*               CodeableConcept                                                                         Diagnostic Group
               morphologyCode                           NaN                          0..*               CodeableConcept                                                                                Diagnosis
               tumorBehaviour                           NaN                          0..*               CodeableConcept                                                          Tumour behaviour (ICD-O-3 type)
                  description                           NaN                          0..1                        string                                                                    Diagnosis description
                         site                           NaN                          0..*               BackboneElement                                                                                     Site
                          @id                           NaN                          0..1                        string                                                  Unique id for inter-element referencing
                    extension                           NaN                          0..*                     Extension        Additional content defined by implementations Slice: Unordered, Open by value:url
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                         code                           NaN                          0..*               CodeableConcept                                                                 Site(ICD-O-3 topography)
                  description                           NaN                          0..*                        string                                                                         Site description
                   laterality                           NaN                          0..*               CodeableConcept                                                                               Laterality
                   metastasis                           NaN                          0..*               BackboneElement                                                                               Metastatic
                          @id                           NaN                          0..1                        string                                                  Unique id for inter-element referencing
                    extension                           NaN                          0..*                     Extension        Additional content defined by implementations Slice: Unordered, Open by value:url
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                   identifier                           NaN                          0..*                       integer                                                                            Metastasis id
                         site                           NaN                          0..*               BackboneElement                                                                          Metastasis site
                          @id                           NaN                          0..1                        string                                                  Unique id for inter-element referencing
                    extension                           NaN                          0..*                     Extension        Additional content defined by implementations Slice: Unordered, Open by value:url
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                         code                           NaN                          0..*               CodeableConcept                                                                     Metastasis site code
                  description                           NaN                          0..*                        string                                            Additional description of sites of metastatis
               geneticMarkers                           NaN                          0..1                        string                                                                    Genetic markers(text)
                        stage                           NaN                          0..1                        string                                                                               Stage/Risk
                   immunology                           NaN                          0..*               CodeableConcept                                                                               Immunology
     hereditaryPredisposition                           NaN                          0..*               CodeableConcept                                                         Hereditary Cancer Predisposition
                        notes                           NaN                          0..*                        string                                                                                    Notes
Documentation for this format Documentation for this format Documentation for this format Documentation for this format                                                            Documentation for this format

                         Name                         Flags                         Card.                          Type                                                                Description & Constraints
                    Diagnosis                           NaN                          0..*                          Base Diagnosis Instances of this logical model are not marked to be the target of a Reference
                   identifier                           NaN                          1..*                    Identifier                                                                                       ID
              dateOfDiagnosis                           NaN                          0..*               BackboneElement                                                                        Date of diagnosis
            centerOfDiagnosis                           NaN                          0..*               BackboneElement                                                                      Center of diagnosis
                   identifier                           NaN                          0..1                    Identifier                                                                              Center code
                         name                           NaN                          0..1                        string                                                                              Center name
                         city                           NaN                          0..1                        string                                                                              Center city
                      country                           NaN                          1..1                        string                                                                           Center country
       primaryTreatmentCenter                           NaN                          0..1               BackboneElement                                                                 Primary treatment center
                         name                           NaN                          0..1                        string                                                            Primary treatment center name
                         city                           NaN                          0..1                        string                                                            Primary treatment center city
                      country                           NaN                          0..1                        string                                                         Primary treatment center country
        dateOfArrivalAtCenter                           NaN                          1..*                      dateTime                                                       Date of arrival to our institution
              diagnosticGroup                           NaN                          0..*               CodeableConcept                                                                         Diagnostic Group
               morphologyCode                           NaN                          0..*               CodeableConcept                                                                                Diagnosis
               tumorBehaviour                           NaN                          0..*               CodeableConcept                                                          Tumour behaviour (ICD-O-3 type)
                  description                           NaN                          0..1                        string                                                                    Diagnosis description
                         site                           NaN                          0..*               BackboneElement                                                                                     Site
                         code                           NaN                          0..*               CodeableConcept                                                                 Site(ICD-O-3 topography)
                  description                           NaN                          0..*                        string                                                                         Site description
                   laterality                           NaN                          0..*               CodeableConcept                                                                               Laterality
                   metastasis                           NaN                          0..*               BackboneElement                                                                               Metastatic
                   identifier                           NaN                          0..*                       integer                                                                            Metastasis id
                         site                           NaN                          0..*               BackboneElement                                                                          Metastasis site
                         code                           NaN                          0..*               CodeableConcept                                                                     Metastasis site code
                  description                           NaN                          0..*                        string                                            Additional description of sites of metastatis
               geneticMarkers                           NaN                          0..1                        string                                                                    Genetic markers(text)
                        stage                           NaN                          0..1                        string                                                                               Stage/Risk
                   immunology                           NaN                          0..*               CodeableConcept                                                                               Immunology
     hereditaryPredisposition                           NaN                          0..*               CodeableConcept                                                         Hereditary Cancer Predisposition
                        notes                           NaN                          0..*                        string                                                                                    Notes
Documentation for this format Documentation for this format Documentation for this format Documentation for this format                                                            Documentation for this format

                         Name                         Flags                         Card.                          Type                                                                Description & Constraints
                    Diagnosis                           NaN                          0..*                          Base Diagnosis Instances of this logical model are not marked to be the target of a Reference
                   identifier                           NaN                          1..*                    Identifier                                                                                       ID
              dateOfDiagnosis                           NaN                          0..*               BackboneElement                                                                        Date of diagnosis
            centerOfDiagnosis                           NaN                          0..*               BackboneElement                                                                      Center of diagnosis
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                   identifier                           NaN                          0..1                    Identifier                                                                              Center code
                         name                           NaN                          0..1                        string                                                                              Center name
                         city                           NaN                          0..1                        string                                                                              Center city
                      country                           NaN                          1..1                        string                                                                           Center country
       primaryTreatmentCenter                           NaN                          0..1               BackboneElement                                                                 Primary treatment center
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                         name                           NaN                          0..1                        string                                                            Primary treatment center name
                         city                           NaN                          0..1                        string                                                            Primary treatment center city
                      country                           NaN                          0..1                        string                                                         Primary treatment center country
        dateOfArrivalAtCenter                           NaN                          1..*                      dateTime                                                       Date of arrival to our institution
              diagnosticGroup                           NaN                          0..*               CodeableConcept                                                                         Diagnostic Group
               morphologyCode                           NaN                          0..*               CodeableConcept                                                                                Diagnosis
               tumorBehaviour                           NaN                          0..*               CodeableConcept                                                          Tumour behaviour (ICD-O-3 type)
                  description                           NaN                          0..1                        string                                                                    Diagnosis description
                         site                           NaN                          0..*               BackboneElement                                                                                     Site
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                         code                           NaN                          0..*               CodeableConcept                                                                 Site(ICD-O-3 topography)
                  description                           NaN                          0..*                        string                                                                         Site description
                   laterality                           NaN                          0..*               CodeableConcept                                                                               Laterality
                   metastasis                           NaN                          0..*               BackboneElement                                                                               Metastatic
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                   identifier                           NaN                          0..*                       integer                                                                            Metastasis id
                         site                           NaN                          0..*               BackboneElement                                                                          Metastasis site
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                         code                           NaN                          0..*               CodeableConcept                                                                     Metastasis site code
                  description                           NaN                          0..*                        string                                            Additional description of sites of metastatis
               geneticMarkers                           NaN                          0..1                        string                                                                    Genetic markers(text)
                        stage                           NaN                          0..1                        string                                                                               Stage/Risk
                   immunology                           NaN                          0..*               CodeableConcept                                                                               Immunology
     hereditaryPredisposition                           NaN                          0..*               CodeableConcept                                                         Hereditary Cancer Predisposition
                        notes                           NaN                          0..*                        string                                                                                    Notes
Documentation for this format Documentation for this format Documentation for this format Documentation for this format                                                            Documentation for this format

                         Name                         Flags                         Card.                          Type                                                                Description & Constraints
                    Diagnosis                           NaN                          0..*                          Base Diagnosis Instances of this logical model are not marked to be the target of a Reference
                   identifier                           NaN                          1..*                    Identifier                                                                                       ID
              dateOfDiagnosis                           NaN                          0..*               BackboneElement                                                                        Date of diagnosis
            centerOfDiagnosis                           NaN                          0..*               BackboneElement                                                                      Center of diagnosis
                          @id                           NaN                          0..1                        string                                                  Unique id for inter-element referencing
                    extension                           NaN                          0..*                     Extension        Additional content defined by implementations Slice: Unordered, Open by value:url
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                   identifier                           NaN                          0..1                    Identifier                                                                              Center code
                         name                           NaN                          0..1                        string                                                                              Center name
                         city                           NaN                          0..1                        string                                                                              Center city
                      country                           NaN                          1..1                        string                                                                           Center country
       primaryTreatmentCenter                           NaN                          0..1               BackboneElement                                                                 Primary treatment center
                          @id                           NaN                          0..1                        string                                                  Unique id for inter-element referencing
                    extension                           NaN                          0..*                     Extension        Additional content defined by implementations Slice: Unordered, Open by value:url
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                         name                           NaN                          0..1                        string                                                            Primary treatment center name
                         city                           NaN                          0..1                        string                                                            Primary treatment center city
                      country                           NaN                          0..1                        string                                                         Primary treatment center country
        dateOfArrivalAtCenter                           NaN                          1..*                      dateTime                                                       Date of arrival to our institution
              diagnosticGroup                           NaN                          0..*               CodeableConcept                                                                         Diagnostic Group
               morphologyCode                           NaN                          0..*               CodeableConcept                                                                                Diagnosis
               tumorBehaviour                           NaN                          0..*               CodeableConcept                                                          Tumour behaviour (ICD-O-3 type)
                  description                           NaN                          0..1                        string                                                                    Diagnosis description
                         site                           NaN                          0..*               BackboneElement                                                                                     Site
                          @id                           NaN                          0..1                        string                                                  Unique id for inter-element referencing
                    extension                           NaN                          0..*                     Extension        Additional content defined by implementations Slice: Unordered, Open by value:url
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                         code                           NaN                          0..*               CodeableConcept                                                                 Site(ICD-O-3 topography)
                  description                           NaN                          0..*                        string                                                                         Site description
                   laterality                           NaN                          0..*               CodeableConcept                                                                               Laterality
                   metastasis                           NaN                          0..*               BackboneElement                                                                               Metastatic
                          @id                           NaN                          0..1                        string                                                  Unique id for inter-element referencing
                    extension                           NaN                          0..*                     Extension        Additional content defined by implementations Slice: Unordered, Open by value:url
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                   identifier                           NaN                          0..*                       integer                                                                            Metastasis id
                         site                           NaN                          0..*               BackboneElement                                                                          Metastasis site
                          @id                           NaN                          0..1                        string                                                  Unique id for inter-element referencing
                    extension                           NaN                          0..*                     Extension        Additional content defined by implementations Slice: Unordered, Open by value:url
            modifierExtension                           ?!Σ                          0..*                     Extension                                   Extensions that cannot be ignored even if unrecognized
                         code                           NaN                          0..*               CodeableConcept                                                                     Metastasis site code
                  description                           NaN                          0..*                        string                                            Additional description of sites of metastatis
               geneticMarkers                           NaN                          0..1                        string                                                                    Genetic markers(text)
                        stage                           NaN                          0..1                        string                                                                               Stage/Risk
                   immunology                           NaN                          0..*               CodeableConcept                                                                               Immunology
     hereditaryPredisposition                           NaN                          0..*               CodeableConcept                                                         Hereditary Cancer Predisposition
                        notes                           NaN                          0..*                        string                                                                                    Notes
Documentation for this format Documentation for this format Documentation for this format Documentation for this format                                                            Documentation for this format

